street,length,width,sidewalk
đinh nhật tân,0.6,5.5,3.0
đinh núp,0.33,5.5,3.0
đinh thị hòa,0.5,7.5,4.5
đinh thị vân,0.37,10.5,5.0
đinh tiên hoàng ,0.46,5.5,2.0
đinh văn chấp,0.43,7.5,4.0
đinh đạt,0.34,7.5,4.5
đinh đức thiện,0.835,7.5,4.5
điện biên phủ,3.2,30.0,6.0
đoàn hữu trưng,0.75,7.5,3.5
đoàn khuê,0.93,11.5,5.0
đoàn nguyễn thục,0.33,5.5,3.0
đoàn nguyễn tuấn,0.24,5.5,3.0
đoàn ngọc nhạc,1.17,5.5,3.0
đoàn nhữ hài,0.18,5.5,3.0
đoàn phú tứ,0.72,5.5,3.0
đoàn quý phi,0.16,5.5,3.0
đoàn thị điểm,0.25,6.0,2.0
đoàn trần nghiệp,0.19,5.5,3.0
đà sơn,0.635,10.5,5.0
đàm quang trung,0.93,5.5,1.0
đàm thanh 1,0.23,5.5,3.0
đàm thanh 2,0.21,5.5,3.0
đàm thanh 3,0.14,5.5,3.0
đàm thanh 4,0.145,5.5,3.0
đàm thanh 5,0.19,5.5,3.0
đàm thanh 6,0.12,5.5,3.0
đàm thanh 7,0.2,5.5,3.0
đàm thanh 8,0.135,5.5,3.0
đàm thanh 9,0.07,5.5,3.0
đàm văn lễ,0.22,10.5,5.0
đào cam mộc,0.15,5.5,3.0
đào công chính,0.26,5.5,3.0
đào công soạn,0.48,5.5,3.0
đào doãn địch,0.32,5.5,3.0
đào duy anh,0.18,6.0,3.0
đào duy kỳ,0.49,5.5,3.0
đào duy tùng,0.6,21.0,6.0
đào duy từ,0.162,7.0,2.5
đào nghiễm,0.38,7.5,4.0
đào nguyên phổ,0.243,5.5,3.0
đào sư tích,0.785,5.5,3.0
đào trinh nhất,0.56,5.5,3.0
đào trí,0.36,5.5,3.0
đào tấn,0.46,4.5,1.2
đá mọc 1,0.14,5.5,3.0
đá mọc 2,0.11,5.5,3.0
đá mọc 3,0.11,5.5,3.0
đá mọc 4,0.14,5.5,3.0
đá mọc 5,0.2,5.5,3.0
đô đốc bảo,0.52,7.5,4.0
đô đốc lân,2.56,10.5,5.0
đô đốc lộc,1.22,7.5,4.0
đô đốc tuyết,1.7,5.5,3.0
đông du,0.256,3.75,3.0
đông giang,0.28,10.5,5.0
đông hải 1,0.15,5.5,3.0
đông hải 10,0.09,5.5,3.0
đông hải 11,0.09,5.5,3.0
đông hải 12,0.16,5.5,3.0
đông hải 14,0.1,5.5,3.0
đông hải 2,0.22,5.5,3.0
đông hải 3,0.1,5.5,3.0
đông hải 4,0.12,5.5,3.0
đông hải 5,0.18,5.5,3.0
đông hải 6,0.14,5.5,3.0
đông hải 7,0.14,5.5,3.0
đông hải 8,0.2,5.5,3.0
đông hải 9,0.08,5.5,3.0
đông kinh nghĩa thục,0.59,7.5,4.5
đông lợi 1,0.17,5.5,2.0
đông lợi 2,0.12,5.5,3.0
đông lợi 3,0.07,5.5,3.0
đông lợi 4,0.16,7.5,3.0
đông thạnh 1,0.1,7.5,4.5
đông thạnh 2,0.13,7.5,4.5
đông thạnh 3,0.13,7.5,4.5
đông trà 1,0.07,5.5,3.0
đông trà 2,0.115,5.5,3.0
đông trà 3,0.1,5.5,3.0
đông trà 4,0.13,5.5,3.0
đông trà 5,0.24,5.5,3.0
đông trà 6,0.06,11.0,4.5
đông trà 7,0.06,5.5,4.5
2/9,3.821,21.0,2.0
k20,0.35,5.5,1.0
đại an 1,0.225,5.5,3.0
đại an 2,0.225,5.5,3.0
đại an 3,0.225,7.5,4.0
đại an 4,0.2,5.5,3.0
đầm rong 1,0.14,5.5,3.0
đầm rong 2,0.29,5.5,2.0
đặng chiêm,0.41,5.5,2.5
đặng chất,0.27,7.5,4.0
đặng dung,0.55,6.0,3.0
đặng huy trứ,0.915,7.5,4.0
đặng huy tá,0.41,5.5,3.0
đặng hòa,0.955,6.5,4.5
đặng minh khiêm,0.52,5.5,3.0
đặng nguyên cẩn,0.32,5.5,3.0
đặng nhơn,0.38,7.5,5.0
đặng như mai,0.38,5.5,3.0
đặng nhữ lâm,0.45,5.5,3.0
đặng phúc thông,0.38,5.5,3.0
đặng thai mai,0.27,5.5,2.5
đặng thái thân,0.3,3.5,1.5
đặng thùy trâm,0.32,7.5,3.0
đặng trần côn,0.185,3.75,3.0
đặng tất,0.19,5.5,3.0
đặng tử kính,0.187,5.5,3.0
đặng văn bá,0.32,7.5,4.0
đặng văn kiều,0.375,5.5,3.0
đặng văn ngữ,0.396,7.5,4.0
đặng vũ hỷ,0.45,9.0,4.0
đặng xuân bảng,0.28,7.5,5.0
đặng xuân thiều,0.3,7.5,4.0
đặng đoàn bằng,0.44,7.5,4.0
đặng đình vân,0.207,5.5,2.0
đặng đức siêu,0.54,6.5,3.5
đốc ngữ,0.14,5.5,3.0
đống công tường,0.27,5.5,3.0
đống đa,1.8,15.0,2.0
đồng bài 1,0.2,6.0,3.0
đồng bài 2,0.19,6.0,3.0
đồng bài 3,0.14,6.0,3.0
đồng bài 4,0.15,6.0,3.0
đồng khởi,0.388,7.5,4.0
đồng kè,0.85,3.5,1.5
đồng phước huyến,0.52,5.5,3.0
đồng trí 1,0.41,3.75,3.0
đồng trí 2,0.415,3.75,3.0
đồng trí 3,0.302,3.75,3.0
đồng trí 4,0.23,3.75,3.0
đồng trí 5,0.11,5.5,3.0
đồng trí 6,0.2,7.5,3.5
đỗ anh hàn,0.735,11.25,5.0
đỗ bá,0.67,10.5,5.0
đỗ bí,0.25,5.5,3.0
đỗ huy uyển,0.33,7.5,4.5
đỗ hành,0.19,10.5,5.0
đỗ ngọc du,0.68,5.0,2.5
đỗ nhuận,0.36,5.5,3.0
đỗ năng tế,0.3,5.5,3.0
đỗ năng đệ,0.5,7.5,4.0
đỗ quang,0.82,5.5,2.5
đỗ thúc tịnh ,1.10933,7.5,4.5
đỗ thế chấp,0.54,7.5,4.5
đỗ tự,0.36,7.5,4.0
đỗ xuân cát,0.19,7.5,3.0
đỗ xuân hợp,0.238,5.5,3.0
đỗ đăng tuyển,0.445,5.5,3.0
đỗ đức dục,0.465,5.5,3.0
đội cung,0.188,5.5,3.0
đội cấn,0.18,5.5,3.0
đức lợi 1,0.18,5.5,3.0
đức lợi 2,0.1,5.5,3.0
đức lợi 3,0.14,7.5,3.0
ấp bắc,0.805,5.5,3.0
ỷ lan nguyên phi,1.05,7.5,4.5
hói kiểng 1,0.105,7.5,3.5
hói kiểng 10,0.4,7.5,3.5
hói kiểng 11,0.4,7.5,3.5
hói kiểng 12,0.4,7.5,3.5
hói kiểng 2,0.105,7.5,3.5
hói kiểng 20,0.4,7.5,3.5
hói kiểng 21,0.395,7.5,3.5
hói kiểng 22,0.37,7.5,3.5
hói kiểng 23,0.35,7.5,3.5
hói kiểng 24,0.21,7.5,3.5
hói kiểng 26,0.285,7.5,3.5
hói kiểng 27,0.28,7.5,3.5
hói kiểng 29,0.165,7.5,3.5
hói kiểng 3,0.105,7.5,3.5
hói kiểng 30,0.265,7.5,3.5
hói kiểng 31,0.245,7.5,3.5
hói kiểng 32,0.24,7.5,3.5
hói kiểng 33,0.235,7.5,3.5
hói kiểng 6,0.4,7.5,3.5
hói kiểng 7,0.18,7.5,3.5
hói kiểng 8,0.18,7.5,3.5
ba gia,0.325,7.5,4.0
ba đình,0.33,6.0,2.0
bá giáng 8,0.09,5.5,3.0
bờ quan 10,0.32,7.5,3.5
bờ quan 11,0.32,7.5,3.5
bờ quan 12,0.32,7.5,3.5
bờ quan 14,0.32,7.5,3.5
bờ quan 2,0.36,7.5,3.5
bờ quan 3,0.16,7.5,3.5
bờ quan 4,0.12,7.5,3.5
bờ quan 5,0.115,7.5,3.5
bờ quan 6,0.175,7.5,3.5
bờ quan 7,0.175,7.5,3.5
bờ quan 8,0.175,7.5,3.5
bờ quan 9,0.3,7.5,3.5
cẩm bắc 12,0.11,5.5,3.0
cẩm lệ,0.2,5.5,2.0
dương sơn 1,0.49,9.0,5.0
dương sơn 10,0.44,7.5,4.0
dương sơn 11,0.09,7.5,4.0
dương sơn 2,0.32,7.5,4.0
dương sơn 3,0.3,7.5,4.0
dương sơn 4,0.25,7.5,4.0
dương sơn 5,0.23,5.5,3.0
dương sơn 6,0.09,5.5,3.0
dương sơn 7,0.14,5.5,3.0
dương sơn 8,0.095,5.5,3.0
dương sơn 9,0.0,5.5,3.0
dương trí thạch,0.58,5.5,3.0
francis henry loseby,0.575,10.5,7.5
hoàng phê,0.2,7.5,2.0
hoàng văn hoè,0.17,7.5,4.5
hoàng văn thụ,0.51,9.0,2.0
huỳnh ngọc đủ,0.44,7.5,2.0
huỳnh thúc kháng,0.55,6.0,2.0
huỳnh văn đảnh,0.48,5.5,2.0
hòa minh 13,0.2,5.5,2.0
hòa mỹ 9,0.4,3.8,4.0
hòa nam 6,0.19,7.5,4.0
hòa phú 20,0.14,7.5,3.0
hòa phú 21,0.21,7.5,3.0
hòa phú 22,0.1,5.5,3.0
hòa phú 23,0.16,7.5,3.0
hòa phú 24,0.285,7.5,3.0
hòa phú 25,0.31,7.5,3.0
hòa phú 26,0.31,7.5,3.0
hòa phú 27,0.19,7.5,3.0
hòa phú 28,0.19,7.5,3.0
hòa phú 29,0.285,7.5,3.0
hòa phú 30,0.155,7.5,3.0
hòa phú 31,0.135,7.5,3.0
hòa phú 32,0.285,7.5,3.0
hưng hóa 1,0.14,5.5,2.0
hưng hóa 2,0.14,5.5,2.0
hưng hóa 3,0.09,5.5,2.0
hưng hóa 4,0.14,5.5,2.0
hồ qúy ly,0.78,10.5,2.0
hồ sỹ dương,0.582,7.5,4.5
hồ sỹ đống,0.06,5.5,3.0
khe sanh,0.3,5.5,2.0
khánh an 12,0.2,5.5,2.0
la bông 1,0.34,4.0,2.0
la bông 2,0.32,8.0,3.0
la bông 3,0.3,4.0,2.0
la bông 4,0.16,4.0,2.0
la bông 5,0.32,4.0,2.0
la bông 6,0.12,4.0,2.0
lâm huỳnh,0.48,7.5,2.0
lê bá trinh(cũ),0.2,7.0,2.0
lê cơ (nối dài),0.075,3.5,2.0
lê phụ trần 2,0.32,5.5,3.0
lê thuyết hùng,0.59,7.5,2.0
lê thánh tông,0.19,7.0,2.0
lê tự thống nhất,0.63,7.5,4.0
lê văn sỹ,0.604,5.5,3.0
lê đình lý(nối dài),0.25,15.0,4.5
lưu trùng dương,0.52,7.5,4.0
mai dị (cũ),0.2,5.0,2.0
mai dị (nối dài),0.16,5.5,2.0
mạc thiên tứ,0.43,7.5,4.0
mỹ thị,0.63,7.5,2.0
mỹ thị 1,0.12,5.5,3.0
mỹ thị 2,0.11,5.5,3.0
mỹ thị 3,0.12,5.5,3.0
mỹ thị 4,0.13,5.5,3.0
mỹ đa tây 1,0.2,7.5,4.0
mỹ đa tây 2,0.195,7.5,4.0
mỹ đa tây 3,0.19,7.5,4.0
mỹ đa tây 4,0.17,7.5,4.0
mỹ đa tây 5,0.17,7.5,4.0
nguyễn chu sỹ,0.23,10.0,2.0
nguyễn chí trung,0.2,7.5,2.0
nguyễn chơn,0.0,7.5,4.0
nguyễn giản thanh 2,0.2,5.5,2.0
nguyễn hồng,0.2,5.5,2.0
nguyễn hữu đức,0.6,10.5,5.0
nguyễn lộ trạch (nối dài),0.2,7.5,4.5
nguyễn minh vân,0.2,7.5,2.0
nguyễn thái học (cũ),0.5,7.0,2.0
nguyễn triệu luật,0.2,5.5,2.0
nguyễn trung ngạn 2,0.3,5.5,3.0
nguyễn trung trực (nối dài),0.4,5.5,2.0
nguyễn trác 2,0.18,5.5,2.0
nguyễn trường tộ,0.2,5.5,2.0
nguyễn văn trỗi,0.2,5.5,2.0
nguyễn đình trọng (nối dài),0.3,10.5,4.5
nguyễn đôn triết,0.31,7.5,1.0
ngyễn xuân ôn,0.2,5.5,2.0
ngô thị sỹ,0.84,7.5,4.0
nhân hoà 1,0.11,5.5,3.0
nhân hoà 2,0.11,5.5,3.0
nhân hoà 3,0.14,5.5,3.0
nhân hoà 4,0.1,5.5,3.0
nhân hoà 5,0.1,5.5,3.0
nhân hoà 6,0.17,5.5,3.0
nhân hoà 7,0.17,5.5,3.0
norman morrison,0.575,7.5,4.5
pham sư mạnh,0.2,5.5,2.0
pham vấn,0.2,7.5,2.0
phan du,0.58,7.5,4.0
phan hoan,0.425,7.5,3.5
phan quang định,0.2,7.5,2.0
phan thành tài,0.2,4.0,2.0
phan thêm,0.2,7.5,2.0
phan đinh giót,0.2,7.5,2.0
phong bắc,0.2,5.5,2.0
phước hòa,0.2,5.5,2.0
phước mỹ,0.2,5.5,2.0
phạm nỗi,0.2,6.0,2.0
phạm phú  tiết,0.2,7.5,2.0
phạm văn trang,0.2,7.5,2.0
quán khải 1,0.2,5.5,2.0
quán khải 2,0.2,5.5,2.0
quán khải 3,0.2,5.5,2.0
quán khải 4,0.2,5.5,2.0
quán khải 5,0.2,5.5,2.0
quán khải 6,0.2,5.5,2.0
quán khải 7,0.2,5.5,2.0
quán khải 8,0.2,5.5,2.0
quảng nam,0.26,15.0,9.0
quốc lộ 14b,0.86,5.5,2.0
quốc lộ 1a,0.2,5.5,2.0
sơn thủy 1,0.1,7.5,3.0
sơn thủy 10,0.09,3.5,3.0
sơn thủy 11,0.09,3.5,3.0
sơn thủy 2,0.09,3.5,3.0
sơn thủy 3,0.09,3.5,3.0
sơn thủy 4,0.09,3.5,3.0
sơn thủy 5,0.09,3.5,3.0
sơn thủy 6,0.09,3.5,3.0
sơn thủy 7,0.09,3.5,3.0
sơn thủy 8,0.09,3.5,3.0
sơn thủy 9,0.09,3.5,3.0
sương nguyệt ánh,0.35,3.5,3.0
thanh duyên,0.25,3.2,2.0
thuỷ sơn 1,0.21,7.5,4.5
thuỷ sơn 2,0.13,7.5,4.5
thuỷ sơn 3,0.21,7.5,4.5
thuỷ sơn 4,0.255,7.5,4.5
thuỷ sơn 5,0.205,7.5,4.5
tiên sơn 13,0.17,5.5,2.0
tiên sơn 21,0.18,5.5,3.0
trà ban 1,0.22,5.5,3.0
trà ban 2,0.2,5.5,3.0
trà ban 3,0.12,5.5,3.0
trương xuân nam,0.84,7.5,3.5
trần bình trọng,0.2,7.2,2.0
trần huân,0.2,10.5,2.0
trần hữu dực,0.69,15.0,5.0
trần thủ độ,0.2,10.5,2.0
trần triệu luật,0.33,10.5,3.0
trần văn dư,0.72,9.0,2.0
trần văn kỳ,0.22,10.5,5.0
từ giấy,0.72,7.5,3.5
tự đức,1.445,15.0,6.0
võ duy đoán,0.2,7.5,4.5
võ như khương,0.2,5.5,2.0
vĩnh tân,0.24,6.5,1.0
vũ phạm hàm,0.2,5.0,2.0
vạn hạnh,0.2,5.0,2.0
xuân thiều 34,0.2,15.0,6.0
xuân thiều 35,0.2,15.0,2.0
xuân thiều 36,0.2,5.5,2.0
xuân thiều 37,0.2,5.5,2.0
xuân thiều 38,0.2,5.5,2.0
ông ích khiêm,0.2,9.0,2.0
đa mặn 9,0.07,5.5,3.0
đai an 1,0.225,5.5,3.0
đai an 2,0.225,5.5,3.0
đai an 3,0.225,7.5,4.0
đai an 4,0.2,5.5,3.0
đinh tiên hoàng,0.46,5.5,5.0
đoàn nguyên thục,0.33,5.5,3.0
đà sơn 3,0.275,7.5,4.0
đà sơn 4,0.225,5.5,3.0
đà sơn 5,0.2,5.5,3.0
đà sơn 6,0.25,5.5,3.0
đà sơn 7,0.1,5.5,3.0
đà sơn 8,0.115,5.5,3.0
đò xu 3,0.14,5.5,3.0
đông phước 4,0.205,5.5,3.0
đặng hồi xuân,0.935,7.5,3.5
đỗ thúc tịnh,0.58,6.0,2.0
